ID,Tanggal,Judulk
1,Sabtu 01 Feb 2020 2355 WIB,persiapan terbang ke ri wni di wuhan periksa imigrasi-check in bagasi
2,Sabtu 01 Feb 2020 2331 WIB,video pabrik garmen di klaten ludes terbakar
3,Sabtu 01 Feb 2020 2314 WIB,seorang warga kulon progo dibacok orang tak dikenal
4,Sabtu 01 Feb 2020 2311 WIB,wni yang dievakuasi dari wuhan china jadi 241 orang ini kata kemlu
5,Sabtu 01 Feb 2020 2303 WIB,video cara polisi mumbai bikin kapok orang yang hobi klakson
6,Sabtu 01 Feb 2020 2252 WIB,berkurang 4 jumlah wni yang dievakuasi dari wuhan china jadi 241 orang
7,Sabtu 01 Feb 2020 2239 WIB,kebakaran melanda pabrik garmen di klaten
8,Sabtu 01 Feb 2020 2231 WIB,kata sandiaga soal program ok oce yang masih bergulir
9,Sabtu 01 Feb 2020 2217 WIB,video geger air panas muncul dari sumur warga di cimahi
10,Sabtu 01 Feb 2020 2217 WIB,netizen penghinanya tertangkap risma aku gak eruh
11,Sabtu 01 Feb 2020 2158 WIB,ultah megawati di banyuwangi digelar dengan gerakan menanam di mata air jopuro
12,Sabtu 01 Feb 2020 2148 WIB,gara-gara tak dikasih uang anak tega ayunkan parang aniaya ibu
13,Sabtu 01 Feb 2020 2146 WIB,video bertambah korban jiwa virus corona di china jadi 259 orang
14,Sabtu 01 Feb 2020 2143 WIB,rsud arifin achmad siap operasi siswi sma di kampar idap kanker tulang
15,Sabtu 01 Feb 2020 2138 WIB,jejak kebohongan yang menyeret raden rangga ke bui
16,Sabtu 01 Feb 2020 2136 WIB,cetak dokumen kependudukan di surabaya kini tak sampai 3 menit
17,Sabtu 01 Feb 2020 2123 WIB,ditangkap di bogor netizen penghina risma saat ini sudah di surabaya
18,Sabtu 01 Feb 2020 2116 WIB,25 rumah di jember diterjang banjir bandang
19,Sabtu 01 Feb 2020 2104 WIB,diguyur hujan lebat jalanan di surabaya kembali kebanjiran
20,Sabtu 01 Feb 2020 2101 WIB,polisi tangkap pemilik akun fb yang posting kapolda papua hoax
21,Sabtu 01 Feb 2020 2050 WIB,dear penyayang kucing ini dia tips agar si pus tak terjangkit distemper
22,Sabtu 01 Feb 2020 2041 WIB,1078 kontainer sampah impor ditemukan di tanjung priok kapan dikembalikan
23,Sabtu 01 Feb 2020 2034 WIB,wn afrika terseret arus pantai berawa bali
24,Sabtu 01 Feb 2020 2029 WIB,nama netizen penghina risma identik dengan akun facebook yang dilaporkan
25,Sabtu 01 Feb 2020 2023 WIB,2 penumpang lion meninggal di penerbangan ke jeddah kbri tak terkait corona
26,Sabtu 01 Feb 2020 2019 WIB,minim cahaya pencarian bocah tenggelam di kali pesanggrahan dilanjutkan besok
27,Sabtu 01 Feb 2020 2011 WIB,seekstrem apa sih hujan yang banjiri surabaya kemarin
28,Sabtu 01 Feb 2020 2007 WIB,jokowi tegaskan evakuasi wni dari wuhan china misi mulia
29,Sabtu 01 Feb 2020 1953 WIB,bawa golok dan ngelem di bawah jembatan 6 remaja diamankan satpol pp padang
30,Sabtu 01 Feb 2020 1946 WIB,setop impor sampah pemerintah diminta optimalkan pengolahan sampah domestik
31,Sabtu 01 Feb 2020 1944 WIB,video menegangkan 23 anak di india disandera terdakwa pembunuhan
32,Sabtu 01 Feb 2020 1941 WIB,punya praktik doa lintas agama basarah nilai sekolah ini pancasilais
33,Sabtu 01 Feb 2020 1935 WIB,netizen penghina risma ditangkap di bogor
34,Sabtu 01 Feb 2020 1926 WIB,pesawat tim penjemput 245 wni mendarat di bandara wuhan china
35,Sabtu 01 Feb 2020 1925 WIB,pulang dari china mahasiswi dirawat di ruang isolasi rsdm solo
36,Sabtu 01 Feb 2020 1916 WIB,cerita mahasiswa kurung diri selama sebulan karena takut virus corona
37,Sabtu 01 Feb 2020 1909 WIB,belum jadi dikubur rambut sukiyah yang jadi sarang tikus ada di
38,Sabtu 01 Feb 2020 1904 WIB,angin kencang terbangkan atap sd di padang sumbar
39,Sabtu 01 Feb 2020 1857 WIB,netizen penghina risma seorang perempuan
40,Sabtu 01 Feb 2020 1853 WIB,hendak mandi seorang bocah tenggelam di kali pesanggrahan
41,Sabtu 01 Feb 2020 1851 WIB,merayakan imlek ala generasi milenial
42,Sabtu 01 Feb 2020 1847 WIB,video menkes warga yang dievakuasi dari china dipastikan sehat
43,Sabtu 01 Feb 2020 1846 WIB,sikat habis 4 komplotan begal sadis di tambun bekasi ditangkap lagi
44,Sabtu 01 Feb 2020 1845 WIB,bagaimana kesiapan fasilitas medis observasi wni dari wuhan china di natuna
45,Sabtu 01 Feb 2020 1829 WIB,pria selingkuh ngumpet di kolong kasur tewas dikeroyok 6 orang jadi tersangka
46,Sabtu 01 Feb 2020 1825 WIB,kini abang ojol bisa ikutan daur ulang sampah nih caranya
47,Sabtu 01 Feb 2020 1824 WIB,sungai di jember meluap bawa sampah kayu warga khawatir banjir bandang
48,Sabtu 01 Feb 2020 1803 WIB,risma diisukan maju pilgub dki jakarta 2022 ini kata sandiaga uno
49,Sabtu 01 Feb 2020 1759 WIB,berdamai pegawai kopi yor yang aniaya emak driver ojol dibebaskan
50,Sabtu 01 Feb 2020 1748 WIB,lion air sanggah 2 penumpang meninggal kena virus di penerbangan jeddah
51,Sabtu 01 Feb 2020 1748 WIB,wabup natuna bicara miskomunikasi soal wni dari wuhan kami juga manusia
52,Sabtu 01 Feb 2020 1741 WIB,menko polhukam sosialisasi omnibus law ke buruh di sidoarjo
53,Sabtu 01 Feb 2020 1738 WIB,kasus pegawai kopi yor dan emak driver ojol berakhir damai
54,Sabtu 01 Feb 2020 1737 WIB,tabrakan 2 motor di tol bali mandara 1 orang tewas
55,Sabtu 01 Feb 2020 1737 WIB,kebencian yang disebarkan nazi hingga sekarang masih ada
56,Sabtu 01 Feb 2020 1736 WIB,aksi unjuk rasa warga natuna tolak wni dari wuhan
57,Sabtu 01 Feb 2020 1733 WIB,tepergok ngumpet di kolong kasur pria selingkuhan di ntt tewas dikeroyok
58,Sabtu 01 Feb 2020 1732 WIB,wamendes bumdes harus jadi pusat perdagangan desa
59,Sabtu 01 Feb 2020 1727 WIB,tanggul jebol bikin walantaka di serang terendam banjir
60,Sabtu 01 Feb 2020 1726 WIB,driver ojol jadi korban klitih di sleman
61,Sabtu 01 Feb 2020 1721 WIB,perumahan garden city tangerang terendam banjir 148 warga dievakuasi
62,Sabtu 01 Feb 2020 1716 WIB,china imbau tunda pernikahan di tanggal cantik 2 februari karena corona
63,Sabtu 01 Feb 2020 1711 WIB,video suasana panas demo warga natuna soal tempat karantina
64,Sabtu 01 Feb 2020 1705 WIB,gempa m 44 terjadi di nusa dua bali
65,Sabtu 01 Feb 2020 1703 WIB,polwan ini buat anak-anak lupa dengan trauma banjir bandang yang dialami
66,Sabtu 01 Feb 2020 1657 WIB,warga natuna diajak berdialog soal wni dari wuhan yang bakal diobservasi
67,Sabtu 01 Feb 2020 1656 WIB,menlu ke tim penjemput wni di wuhan ini misi mulia semangat
68,Sabtu 01 Feb 2020 1655 WIB,penjual koran tewas jadi korban tabrak lari truk di semarang
69,Sabtu 01 Feb 2020 1648 WIB,tolak jadi tempat observasi wni dari wuhan warga datangi dprd natuna
70,Sabtu 01 Feb 2020 1645 WIB,diguyur hujan sejak kemarin tangerang terendam banjir
71,Sabtu 01 Feb 2020 1642 WIB,tni au siapkan 3 pesawat wni dari wuhan usai transit di batam ke natuna
72,Sabtu 01 Feb 2020 1640 WIB,netizen penghina risma tertangkap
73,Sabtu 01 Feb 2020 1636 WIB,gempa m 49 terjadi di mukomuko bengkulu
74,Sabtu 01 Feb 2020 1635 WIB,who umumkan situasi darurat global terkait virus corona apa artinya
75,Sabtu 01 Feb 2020 1630 WIB,pajang foto gadis bugil netizen garut terancam 18 tahun bui
76,Sabtu 01 Feb 2020 1629 WIB,percobaan penyelundupan sabu ke napi kebonwaru
77,Sabtu 01 Feb 2020 1624 WIB,banjir di jalan total persada tangerang belum surut tinggi air capai 90 cm
78,Sabtu 01 Feb 2020 1620 WIB,belum ada bukti ilmiah iklim tropis bikin virus corona tidak aktif
79,Sabtu 01 Feb 2020 1619 WIB,wagub jatim sebut jember berpotensi jadi center of gravity di tapal kuda
80,Sabtu 01 Feb 2020 1619 WIB,dari yogya mampir solo jokowi ajak cucu main ke mal
81,Sabtu 01 Feb 2020 1613 WIB,alami kecelakaan sopir bus rombongan kiai nu jatim dioperasi
82,Sabtu 01 Feb 2020 1602 WIB,negara lain evakuasi warganya china justru pulangkan warganya ke wuhan
83,Sabtu 01 Feb 2020 1600 WIB,prosedur wni dari wuhan setiba di ri pakaian diganti dan dimusnahkan
84,Sabtu 01 Feb 2020 1552 WIB,momen persiapan tim penjemput wni di wuhan
85,Sabtu 01 Feb 2020 1550 WIB,polisi di tanjung karang lampung dikeroyok tahanan saat bersihkan sel
86,Sabtu 01 Feb 2020 1547 WIB,kemendikbud ajak guru se-banyuwangi kenali potensi siswa
87,Sabtu 01 Feb 2020 1547 WIB,wajah monas usai revitalisasi disetop sementara
88,Sabtu 01 Feb 2020 1547 WIB,video ramai-ramai warga natuna tolak wni dari china
89,Sabtu 01 Feb 2020 1546 WIB,pesawat akan disemprot disinfektan usai evakuasi wni dari wuhan
90,Sabtu 01 Feb 2020 1540 WIB,polda riau sita 2 ekor beruang madu dari pasutri di pelalawan
91,Sabtu 01 Feb 2020 1536 WIB,hanggar lanud raden sadjad natuna jadi tempat observasi wni dari wuhan
92,Sabtu 01 Feb 2020 1532 WIB,2020 orang ikuti festival menulis aksara bali
93,Sabtu 01 Feb 2020 1530 WIB,doa syukur nikmat lengkap arab dan artinya
94,Sabtu 01 Feb 2020 1527 WIB,wabup natuna diminta tenangkan warga yang demo tolak wni dari wuhan
95,Sabtu 01 Feb 2020 1526 WIB,7 bulan kabur setelah hamili siswi smk pria ini akhirnya tertangkap
96,Sabtu 01 Feb 2020 1524 WIB,video warga natuna ramai-ramai demo tolak jadi tempat karantina
97,Sabtu 01 Feb 2020 1522 WIB,cegah corona australia larang masuk warga asing yang tiba dari china
98,Sabtu 01 Feb 2020 1521 WIB,gara-gara sarapan suami aniaya istri yang hamil 7 bulan hingga tewas
99,Sabtu 01 Feb 2020 1520 WIB,2 pria selundupkan sabu pakai botol pesanan napi kebonwaru
100,Sabtu 01 Feb 2020 1520 WIB,video menlu retno sebut 245 warga akan dievakuasi dari wuhan
101,Sabtu 01 Feb 2020 1516 WIB,harapan ganjar gibran-rudy jalan gandengan di car free day solo besok
102,Sabtu 01 Feb 2020 1509 WIB,bantu cegah penyebaran corona pmi akan kirim 10 ribu masker ke hong kong
103,Sabtu 01 Feb 2020 1508 WIB,video seluruh wni dari china akan diisolasi sementara di natuna
104,Sabtu 01 Feb 2020 1507 WIB,ceo lion air pastikan terapkan prosedur ketat pesawat penjemput wni di wuhan
105,Sabtu 01 Feb 2020 1501 WIB,video bus di ciamis terjun ke kolam ikan hindari tabrakan
106,Sabtu 01 Feb 2020 1451 WIB,polda jabar siap turun tangan telusuri netizen penghina risma
107,Sabtu 01 Feb 2020 1448 WIB,denpasar dan banyuwangi kerjasama datangkan lebih banyak wisatawan
108,Sabtu 01 Feb 2020 1440 WIB,warga natuna demo tolak wni dari wuhan istana ini evakuasi kemanusiaan
109,Sabtu 01 Feb 2020 1433 WIB,pwi pastikan jokowi hadiri hpn 2020 pekan depan
110,Sabtu 01 Feb 2020 1421 WIB,seputar banjir yang sempat lumpuhkan surabaya risma pun turun tangan
111,Sabtu 01 Feb 2020 1419 WIB,duit puluhan juta warga kaltim masuk ke rekening orang dekat dony pedro
112,Sabtu 01 Feb 2020 1408 WIB,serunya bermain salju ditemani cokelat panas dan croissant
113,Sabtu 01 Feb 2020 1406 WIB,as darurat virus corona warga asing yang baru pergi ke china dilarang masuk
114,Sabtu 01 Feb 2020 1402 WIB,bpjs kesehatan tanggung pengobatan atlet voli penderita tumor
115,Sabtu 01 Feb 2020 1401 WIB,jerman kerahkan pesawat militer untuk evakuasi warga di wuhan
116,Sabtu 01 Feb 2020 1401 WIB,dipicu dendam siswa sma di jeneponto sulsel tikam teman sekolah
117,Sabtu 01 Feb 2020 1359 WIB,bocah berusia 12 tahun yang tenggelam di kali bekasi ditemukan tewas
118,Sabtu 01 Feb 2020 1358 WIB,ketua kpu banjarmasin jadi tersangka cabul kpu pusat lapor ke dkpp
119,Sabtu 01 Feb 2020 1346 WIB,diduga gangguan jiwa pria di sinjai potong kemaluan sendiri pakai sabit
120,Sabtu 01 Feb 2020 1346 WIB,tilang elektronik motor di dki berlaku masih ada pengendara langgar lalin
121,Sabtu 01 Feb 2020 1346 WIB,video gangguan lalin usai hujan deras daan mogot hingga tangerang
122,Sabtu 01 Feb 2020 1344 WIB,warga natuna demo tolak jadi tempat observasi wni dari wuhan
123,Sabtu 01 Feb 2020 1331 WIB,pengumuman tilang elektronik motor berlaku hari ini
124,Sabtu 01 Feb 2020 1329 WIB,menlu lepas tim penjemput wni di wuhan tetap semangat kita harus sehat
125,Sabtu 01 Feb 2020 1326 WIB,viral pemotor santuy hadang sedan dishub klaten angkat bicara
126,Sabtu 01 Feb 2020 1324 WIB,saksi mata kerangka misterius terduduk di rumah kosong
127,Sabtu 01 Feb 2020 1324 WIB,warga terdampak banjir di periuk tangerang dievakuasi ada ibu hamil
128,Sabtu 01 Feb 2020 1322 WIB,korea selatan selesai evakuasi 700 warganya dari wuhan gegara corona
129,Sabtu 01 Feb 2020 1319 WIB,kecelakaan di cipali sopir bus rombongan kiai nu jatim dioperasi
130,Sabtu 01 Feb 2020 1316 WIB,menkes wni yang dievakuasi dari china sudah screening dipastikan sehat
131,Sabtu 01 Feb 2020 1310 WIB,ini video acara fashion show di gerbong mrt yang viral
132,Sabtu 01 Feb 2020 1310 WIB,bmkg keluarkan peringatan dini hujan lebat-petir di jateng
133,Sabtu 01 Feb 2020 1308 WIB,ini alasan pemerintah pilih natuna tempat observasi wni dari china
134,Sabtu 01 Feb 2020 1307 WIB,misteri sumur tua di cimahi keluarkan uap dan air panas
135,Sabtu 01 Feb 2020 1306 WIB,segera dievakuasi ke ri wni di sejumlah titik bergerak menuju wuhan
136,Sabtu 01 Feb 2020 1305 WIB,panglima tni lepas satgas garuda ke australia
137,Sabtu 01 Feb 2020 1258 WIB,tim penjemput wni di wuhan 42 orang berpakaian khusus antivirus corona
138,Sabtu 01 Feb 2020 1252 WIB,fenomena sumur air panas yang bikin warga cimahi geger
139,Sabtu 01 Feb 2020 1245 WIB,mengembalikan sagu ke piring kita
140,Sabtu 01 Feb 2020 1245 WIB,tim penjemput wni dari china juga bawa bantuan tangani virus corona
141,Sabtu 01 Feb 2020 1245 WIB,wni yang dievakuasi dari china akan jalani observasi standar protokol who
142,Sabtu 01 Feb 2020 1239 WIB,panglima tni pastikan natuna jadi tempat observasi wni dari china
143,Sabtu 01 Feb 2020 1227 WIB,sosialisasi saat reses ketua dprd surabaya jangan ada warga tak bisa makan
144,Sabtu 01 Feb 2020 1226 WIB,dubes china imbau negara-negara tidak perlu panik soal virus corona
145,Sabtu 01 Feb 2020 1224 WIB,geger muncul air panas dari sumur warga di cimahi
146,Sabtu 01 Feb 2020 1224 WIB,total 245 wni yang dievakuasi dari china
147,Sabtu 01 Feb 2020 1222 WIB,menlu wni di hubei sehat senang akan pulang ke tanah air
148,Sabtu 01 Feb 2020 1222 WIB,polisi sudah sebulan pantau kegiatan king of the king
149,Sabtu 01 Feb 2020 1220 WIB,momen panglima tni lepas satgas bantuan kebakaran hutan di australia
150,Sabtu 01 Feb 2020 1214 WIB,wni dievakuasi dari wuhan china bnpb akan jalani observasi 2 minggu
151,Sabtu 01 Feb 2020 1211 WIB,penularan pertama virus corona antarmanusia terjadi di thailand
152,Sabtu 01 Feb 2020 1209 WIB,polda jabar siap bantu tangkap dony pedro king of the king
153,Sabtu 01 Feb 2020 1206 WIB,mobil tercebur ke kali di pik jakut polisi diduga pengemudi mabuk
