Sentence,Sentimen
PSSI buka suara soal acara Fun Football bersama FIFA yang mendapat kritik karena dinilai tak berempati di tengah duka Tragedi Kanjuruhan. Apa kata PSSI?,0
Semalam ternyata ada Fun Football para Petinggi FIFA dan PSSI di Stadion Madya. Komentarnya?,0
Emang tujuan fifa ke Indonesia buat ngelayat ke makam korban? Lah wong tujuan fifa ke sini buat benahi sepakbola di Indonesia..lawak bgt sumpah orang² kayak gini,0
"18 Oktober 2022, Harusnya Iwan Bule dan Iwan Budianto diperiksa sebagai saksi Tragedi Kanjuruhan. Namun Polda Jatim, menerima surat permohonan penundaan pemeriksaan yang dilayangkan PSSI. Dengan alasan ada kegiatan lainnya yang sdh dijadwalkan lama sehingga tak bisa ditunda.",0
"Orang2 Fifa ke Indonesia tuh bukan buat ikut tahlilan, tapi buat bantu benerin kualitas Liga.. Ngapain disuruh2 kerumah korban 1 1.. gaess, berduka boleh tapi jgn berlarut2. Masih panjang perjalanan sepakbola tanah air. Reformasi PSSI utk sepakbola yang lebih baik.",0
"Iya makanya bro, hasil rapat presiden sama FIFA kemarin kan di ataranya bakalan mengkaji ulang pemangku kepentingan di PSSI, itu butuh waktu, sabar aja, nanti bakalan ada yang ditangkap, FIFA ke Indonesia juga bukan cuman Fun Football doang kok, mereka juga mempertaruhkan reputasi",0
"Wakil Ketua PSSI, Iwan Budianto menanggapi enteng kecaman publik terhadap gelaran Fun Football PSSI dan FIFA. Simbol Optimisme katanya",0
"Sayangnya, kunjungan FIFA ke Indonesia mendapat respons negatif di media sosial. Kegiatan FIFA yang menggelar fun football dengan PSSI menuai kritik karena dinilai tak menunjukkan empati terhadap korban tragedi Kanjuruhan.",0
"Menurut Sekjen PSSI Yunus Nusi, agenda Fun Football di Stadion Madya tadi malam adalah ajakan dari Presiden FIFA Gianni Infantino. Ini bagian dari keinginan beliau: apapun bisa terjadi di dunia tetapi sepak bola diharapkan tetap jalan, (YUNUS NUSI).",1
"Terus apa gunanya kalian ribut ribut begini, apakah ada solusi dari kalian, syukur FIFA mau datang bantu sepakbola Indonesia, masih saja ada salahnya, sampai kapan kita berduka, sekarang bukan saatnya bersedih, saatny kita berkumpul dan kasih solusi, bukan hujat sana hujat sini",1
